step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.000000000000000E-01, -2.992500000000000E+01,  4.949999999999995E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.882851284915915E+00,  1.939291492978623E+00,  4.483446756930789E+01,  4.467785722210541E+01, -1.566103472024807E-01, -1.566103472024807E-01, -1.566103120688874E-01, -5.553220467572070E-02, -9.332925989622144E-02, -7.748847496945238E-03, -3.513359328466414E-08
  2.000000000000000E+00,  2.000000000000000E-01, -2.977500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.899892707519549E+00,  1.973316074441953E+00,  4.482045696736168E+01,  4.462679121803847E+01, -1.936657493232090E-01, -3.502760965256897E-01, -1.936655945319961E-01, -6.389486602055980E-02, -1.212989063832881E-01, -8.471822128148194E-03, -1.547912129307161E-07
  3.000000000000000E+00,  3.000000000000000E-01, -2.962500000000000E+01,  4.950000000000000E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.910368719649016E+00,  2.009531813103897E+00,  4.474569624700234E+01,  4.458009946724709E+01, -1.655967797552549E-01, -5.158728762809517E-01, -1.655967630097718E-01, -5.422181403101870E-02, -1.042698462230715E-01, -7.105102755681579E-03, -1.674548305574675E-08
  4.000000000000000E+00,  4.000000000000000E-01, -2.947500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.918742222475421E+00,  2.044338543880075E+00,  4.466867360392644E+01,  4.453691923364444E+01, -1.317543702819961E-01, -6.476272465629336E-01, -1.317543860813927E-01, -4.767864910061059E-02, -7.788551732333319E-02, -6.190219657448905E-03,  1.579939659657192E-08
  5.000000000000000E+00,  5.000000000000000E-01, -2.932500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.926127519167034E+00,  2.077529301134687E+00,  4.460693497203465E+01,  4.449634317969825E+01, -1.105917923364004E-01, -7.582190388993411E-01, -1.105918006370839E-01, -4.315335435398502E-02, -6.186287176552618E-02, -5.575574517572742E-03,  8.300683571049738E-09
  6.000000000000000E+00,  6.000000000000000E-01, -2.917500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.932914580961226E+00,  2.108873619059259E+00,  4.455793579629972E+01,  4.445821179997954E+01, -9.972399632017215E-02, -8.579430352194777E-01, -9.972399378678570E-02, -3.997326243728922E-02, -5.460736916047060E-02, -5.143362189025879E-03, -2.533386445069397E-09
  7.000000000000000E+00,  7.000000000000000E-01, -2.902500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.939298624949749E+00,  2.138641911713771E+00,  4.451546008839068E+01,  4.442205946333647E+01, -9.340062505421542E-02, -9.513436602736647E-01, -9.340031398938034E-02, -3.794876402660463E-02, -5.062811705736708E-02, -4.823432905408631E-03, -3.110648350845846E-07
  8.000000000000000E+00,  7.999999999999999E-01, -2.887500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.945391799129016E+00,  2.167205505016537E+00,  4.447624572558561E+01,  4.438740269585441E+01, -8.884302973120839E-02, -1.040186690004930E+00, -8.884286800896642E-02, -3.636417471924436E-02, -4.792124667169458E-02, -4.557446618027473E-03, -1.617222419730835E-07
  9.000000000000000E+00,  8.999999999999999E-01, -2.872500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.951262837365557E+00,  2.194860816375670E+00,  4.443791898991185E+01,  4.435387634625874E+01, -8.404264365310610E-02, -1.124229333658036E+00, -8.404253285011105E-02, -3.543775137262944E-02, -4.429294851638180E-02, -4.311832961099812E-03, -1.108029950430689E-07
  1.000000000000000E+01,  9.999999999999999E-01, -2.857500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.956957535524975E+00,  2.221823243538705E+00,  4.440070071184891E+01,  4.432121922093631E+01, -7.948149091260603E-02, -1.203710824570635E+00, -7.948140196710164E-02, -3.494547458876229E-02, -4.047560970746498E-02, -4.060317670874380E-03, -8.894550439231264E-08
